EVENTO,FORMADOR (A)/TUTOR (A),INICIO DA FORMAÇÃO,FIM DA FORMAÇÃO,HORARIO INICIO,HORARIO FIM,CH,MODALIDADE,LOCAL,PÚBLICO-ALVO
CURSO TREINAMENTO EM E-SOCIAL PARA ÓRGÃOS PÚBLICOS– MÓDULO 4,MARIA CARMEM MACIEL DOS SANTOS (PESSOA JURÍDICA GESTAP),26/05/25,30/05/25,08:00,13:00,20h/a,PRESENCIAL,EJAP,SERV. SEGESP/ TJAP
"CURSO SNIPER, CAPACITAÇÃO PARA UTILIZAÇÃO - PROGRAMA JUSTIÇA 4.0",CURSO COMPARTILHADO PELA CEAJUD Autoinstrucional,26/05/25,30//05/25,,,4h/a,EAD,MOODLE,MAGIS. SERV. TJAP
CURSO ACADEMIA DE LÍDERES: GESTÃO DE PROJETOS E INOVAÇÃO NO JUDICIÁRIO – MÓDULO 2,JOSÉ FINOCCHIO JUNIOR (PESSOA JURÍDICA),MAIO,MAIO,14:00,18:00,20 h/a,PRESENCIAL,PRESENCIAL,INDICAÇÃO SGP/ 40 VAGAS
CURSO ACESSIBILIDADE E INCLUSÃO NO AMBIENTE JURÍDICO,AUTOINSTRUCIONAL – COMPARTILHADO EJUD2 – TRT2,02/06/25,30/06/25,,,20 h/a,EAD,EAD,MAGIS. SERV. TJAP
CURSO PROCESSO JUDICIAL ELETRÔNICO (PJE) NA PRÁTICA – ÁREA CÍVEL,ESCLEPÍADES DE OLIVEIRA NETO E RAIMUNDO SANTANA LIMA FILHO  (INSTRUTORES INTERNOS),02/06/25,06/06/25,14:00,18:00,20h/a,REMOTO,ZOOM,-
CURSO AGENDA 2030 E OS OBJETIVOS DO DESENVOLVIMENTO SUSTENTÁVEL,AUTOINSTRUCIONAL – compartilhado STJ,02/06/25,30/06/25,,,24 h/a,EAD,MOODLE,MAGIS/ SERV. TJAP
CURSO PREVENÇÃO E ENFRENTAMENTO DA DISCRIMINAÇÃO E DO ASSÉDIO MORAL E SEXUAL NO TRABALHO,AUTOINSTRUCIONAL – compartilhado pela escola TRT 3ª Região,02/06/25,30/06/25,,,40h/a,EAD,MOODLE,SERV./ MAGIS. SERV. GESTORES(AS)
CURSO DIREITO DA SAÚDE E JUDCIALIZAÇÃO DA SAÚDE PÚBLICA,AUTOINSTRUCIONAL – compartilhado pela ESMAM,02/06/25,20/06/25,,,-,EAD,MOODLE,MAGIS. SERV.
CURSO GESTÃO DE PROJETOS - PROGRAMA JUSTIÇA 4.0,CURSO COMPARTILHADO PELA CEAJUD Autoinstrucional,02/06/25,30/06/25,,,20h/a,EAD,MOODLE,MAGIS. SERV. TJAP
CURSO PROCESSO JUDICIAL ELETRÔNICO (PJE) NA PRÁTICA - ÁREA CÍVEL,ESCLEPÍADES DE OLIVEIRA NETO E RAIMUNDO SANTANA LIMA FILHO  (INSTRUTORES INTERNOS),02/06/25,06/06/25,14:00,18:00,20h/a,REMOTO,ZOOM,-
CURSO SNGB: CAPACITAÇÃO PARA UTILIZAÇÃO - PROGRAMA JUSTIÇA 4.0,CURSO COMPARTILHADO PELA CEAJUD Autoinstrucional,02/06/25,06/06/25,,,3h/a,EAD,MOODLE,MAGIS. SERV. TJAP
CURSO CONTROLE DE CONVENCIONALIDADE PRÁTICO,DIEGO MOURA DE ARAUJO (INSTRUTOR INTERNO),04/06/25,06/06/25,08:00,18:00,20h/a,PRESENCIAL,EJAP,MAGIS E ASSESSORES
"CURSO SNIPER, CAPACITAÇÃO PARA UTILIZAÇÃO - PROGRAMA JUSTIÇA 4.0",CURSO COMPARTILHADO PELA CEAJUD Autoinstrucional,09/06/25,13//06/25,,,4h/a,EAD,MOODLE,MAGIS. SERV. TJAP
CURSO ATUAÇÃO DO JUIZ DE DIREITO NO TRIBUNAL DO JÚRI: DA INSTRUÇÃO AO PLENÁRIO,Des. JOÃO GUILHERME LAGES MENDES INSTRUTOR INTERNO,09/06/25,-,,,20h/a,-,-,SERV. E MAGIS. TJAP
CURSO CONSTELAÇÃO SISTÊMICA FAMILIAR EM PROCESSOS DE MEDIAÇÃO DE CONFLITOS,KOTARO TUJI,23/06/25,27//06/25,,,20h/a,PRESENCIAL,PRESENCIAL,(SERV./CONC.MEDIADORES JUDICIAIS DO NUPMEC E CEJUSCS
CURSO PROGRAMAÇÃO NEUROLINGUISTICA - PNL,KOTARO TUJI,23/06/25,27/06/25,14:00,18:00,20h/a,PRESENCIAL,PRESENCIAL,NUPEJURE/TJAP
CURSO ACADEMIA DE LÍDERES: GESTÃO DE CONFLITOS ORGANIZACIONAIS E INTELIGÊNCIA EMOCIONAL – MÓDULO 3,MARA LÚCIA MONTEIRO VIEIRA (INTRUTORA EXTERNA),JUNHO,JUNHO,,,20 h/a,PRESENCIAL,PRESENCIAL,INDICAÇÃO SGP/ 40 VAGAS
CURSO JAVA BÁSICO,A DEFINIR,JUNHO,JUNHO,,,40 h/a,EAD,EAD,SERVIDORES E SERVIDORAS DO TJAP – ÁREA TÉCNICA
CURSO ATENDIMENTO ÀS VÍTIMAS DE CRIMES E ATOS INFRACIONAIS,A DEFINIR,JUNHO,JUNHO,,,-,-,-,-
CURSO A IMPORTÂNCIA DA CONCILIAÇÃO E MEDIAÇÃO PARA O JUDICIÁRIO,Drº GILDO ALVES DE CARVALHO FILHO  (INSTRUTOR EXTERNO – MAGIS TJAM),JUNHO,JUNHO,,,-,PRESENCIAL,PRESENCIAL,-
CURSO INSTRUMENTOS E TÉCNICAS DE AVALIAÇÃO FORENSE,Doutora Rita de Cássia Silva Oliveira - Doutora Sonia Liane Reichert Rovinski - Doutora Catula da Luz Pelisoli - Doutora Paula Inez Cunha Gomide - Doutor Antonio de Pádua Serafin,JUNHO,JUNHO,,,-,-,-,-
CURSO ACESSIBILIDADE E INCLUSÃO NO AMBIENTE JURÍDICO,AUTOINSTRUCIONAL – compartilhado Ejud2 – TRT2,JULHO,JULHO,,,20h/a,EAD,MOODLE,MAGIS. SERV. TJAP
CURSO TECNOLOGIAS E METODOLOGIAS INOVADORA APLICADAS A EDUCAÇÃO CORPORATIVA,ELEONORA JORGE RICARDO (PJ – FGV),JULHO,JULHO,,,30h/a,EAD,MOODLE,MAGIS. SERV. TJAP
CURSO TÓPICOS DE SINTAXE DA LÍNGUA PORTUGUESA,AUTOINSTRUCIONAL – compartilhado STJ,JULHO,JULHO,,,22h/a,EAD,MOODLE,SERV. TJAP
